NO：26C405-1Z,,,义乌市佰世威厨具有限公司送货单,,,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,送货日期：2060-04-23 14:35,,,,,,,,,,
联系电话：,,,,,,,,,,,,,仓库电话：13373848121,,,,,,,,,,
送货地址：,,,,,,,,,,,,,订货地址：国际商贸城2区21号门3楼F3-16026/16429,,,,,,,,,,
无标无唛     4.28两地装（先一正，后秒账）,,,,,,,,,,,,,"三仓：204件/11.4刀叉勺：8件/0.2m³
东阳：364件/21.9m³
7,26C405-1T,,HB01-02,,"2pcs Tray Set
2pcs/set,un",10,10,100,28.8,2880,70,48,34,0.11,15.2,1.14,152,6665202116955,,浦江仓,,,
8,26C405-1T,,ZYB185,,"Skillet
Unit:PCS
25.5*5.0cm",10,3,30,28.5,855,39,27.5,16,0.02,7.2,0.17,72,6667202126941,,浦江仓,,,
9,26C405-1T,,ZYB186,,"Skillet Unit:PCS
30*5.8cm",10,4,40,41,1640,42,32,16.5,0.02,13.5,0.22,135,6667202126958,,浦江仓,,,
10,26C405-1T,SAN35,DHB166,,"Roast chicken
platter with",8,12,96,31,2976,44,41,60,0.11,13.5,0.87,108,6667202133079,18-12,浦江仓,,,
11,26C405-1T,,KP003,,"1.8L Baking Pan
29.5*18.1*5.",5,12,60,9.2,552,33.5,31,39,0.04,11.4,0.20,57,6920220314036,,东阳仓,,,
12,26C405-1T,,KP004,,"2.2L Baking Pan
34.4*20.2*5.",10,12,120,12.8,1536,42,36,34.5,0.05,16.4,0.52,164,6920220314043,,东阳仓,,,
13,26C405-1T,,KP008,,"2.4L Baking Pan
30.3*21.3*6.",10,12,120,10.5,1260,43,32,42.5,0.06,7,0.58,70,6920220314081,,东阳仓,,,
14,26C405-1T,,KP007,,"1.6L Baking Pan
25.8*17.9*6",5,12,60,7.8,468,37.5,27,40,0.04,10.5,0.20,52.5,6920220314074,,东阳仓,,,
15,26C405-1T,SAN23,CB-182,,"glass ice bucket
1pcs/color",5,12,60,32,1920,54,36,50,0.10,19,0.49,95,6912024140737,,东阳仓,,,
16,26C405-1T,,CRY80,,"glass cup 2pcs/color
box",5,12,60,16,960,41,31,22,0.03,7.9,0.14,39.5,6912024148542,,浦江仓,,,
17,26C405-1T,,1966-102,,"1000ml Glass bottle
12pcs/displ",5,24,120,4.6,552,55.5,35.5,32,0.06,16,0.32,80,6912024138741,,东阳仓,,,
18,26C405-1T,,XF025,,"Glass bottle 1pcs/clour
box",5,24,120,10.5,1260,44,34,59,0.09,15,0.44,75,6920241020015,,浦江仓,,,
19,26C405-1T,,VF013C,,"Vacuum Jug-1.3L
Color",10,12,120,47,5640,56,47,29,0.08,9.8,0.76,98,6667202133529,,浦江仓,,,
20,26C405-1T,,VF012C,,"Vacuum Jug-1.3L
Color",10,12,120,47,5640,56,47,29,0.08,9.8,0.76,98,6667202133499,,浦江仓,,,
21,26C405-1T,,VF011B,,"Vacuum Jug-1L
Black",3,12,36,31,1116,69.5,53,29.5,0.11,12,0.33,36,6667202133468,,浦江仓,,,
22,26C405-1T,,VF011W,,"Vacuum Jug-1L
White",3,12,36,31,1116,69.5,53,29.5,0.11,12,0.33,36,6667202133444,,浦江仓,,,
23,26C405-1T,,VF014C,,"Vacuum Jug-1.3L
Color",5,12,60,47,2820,56,47,29,0.08,9.8,0.38,49,6667202133550,,浦江仓,,,
24,26C405-1T,,ZYB227,,"Bread Box Unit:PCS
35.6*21.5*1",5,4,20,46,920,46,37,46,0.08,10.7,0.39,53.5,6667202128785,,浦江仓,,,
25,26C405-1T,,ZYB226,,"Square Bread Box
Unit:PCS",5,4,20,46,920,50,37,46,0.09,10.7,0.43,53.5,6667202128778,,浦江仓,,,
26,26C405-1T,SAN24,SD-033,,"Glass Juice Jar set
3pcs/color",5,6,30,19.5,585,50.6,37,34,0.06,10.6,0.32,53,6902023000330,,东阳仓,,,
27,26C405-1T,,CB-125,,"Glass cup 2pcs/color
box",5,12,60,21,1260,30.5,37.5,29,0.03,7.3,0.17,36.5,6663212163259,,浦江仓,,,
28,26C405-1T,,1988-73,,"Glass storage jar
3pcs/color",10,8,80,29,2320,46,34,29,0.05,8.05,0.45,80.5,6919880715031,,东阳仓,,,
29,26C405-1T,,1966-72,,"Glass storage jar
3pcs/color",5,8,40,29,1160,46,34,29,0.05,9,0.23,45,6923814966727,,东阳仓,,,
30,26C405-1T,,1966-74S,,"1900ml storage jar
with spoon",15,24,360,12,4320,44,40.5,51,0.09,14,1.36,210,6912024132558,,浦江仓,,,
31,26C405-1T,,1966-75S,,"1400ml storage jar
with spoon",3,36,108,11.5,1242,44.5,40.5,58,0.10,16.5,0.31,49.5,6912024132541,,浦江仓,,,
32,26C405-1T,,1966-76S,,"1100ml storage jar
with spoon",5,36,180,11,1980,44.5,40,48,0.09,14.5,0.43,72.5,6912024132534,,浦江仓,,,
1,26C405-1Z,,CPK-014,,"Storage jar 3pcs/color
box,unit:set",10,12,120,32,3840,54,39,43,0.09,20.9,0.91,209,6665202102637,,浦江仓,,,
2,26C405-1Z,,GS2105-01,,"2.7L Salad bowl
1pcs/color",5,8,40,28,1120,54,29,48,0.08,14,0.38,70,6663212112202,,浦江仓,,,
3,26C405-1Z,,GS2105-03,,"2.7L Salad bowl
1pcs/color",15,8,120,28,3360,53.5,29.5,49,0.08,14.5,1.16,217.5,6663212112776,,浦江仓,,,
4,26C405-1Z,,CPK-057,,"340ml Mug 24pcs/displ
ay",5,48,240,5.5,1320,35.5,32,44,0.05,16.35,0.25,81.75,6665202102095,,浦江仓,,,
5,26C405-1Z,,WY34-02,,"10.5""Dinner Plate
6pcs/inner",5,18,90,12.5,1125,34,30.5,31,0.03,13.5,0.16,67.5,6912024130424,,浦江仓,,,
6,26C405-1Z,,WY31-02,,"10.5""Dinner Plate
6pcs/inner",5,18,90,12.5,1125,32,31.5,32,0.03,12.5,0.16,62.5,6912024130226,,浦江仓,,,
7,26C405-1Z,,WY31-05,,"9""Serving Bowl
3pcs/inner",5,12,60,16,960,57,34.5,30,0.06,11.2,0.29,56,6912024130257,,浦江仓,,,
8,26C405-1Z,,ZHG3T-W,,"3pcs
Casserole
Set",20,4,80,42,3360,52,27,42,0.06,16.2,1.18,324,6912024153560,,浦江仓,,,
9,26C405-1Z,,KFB250-W,,"250ml Cup&Sauce
r 6+6",5,12,60,28,1680,58.5,32,44.5,0.08,27.9,0.42,139.5,6918881822632,,东阳仓,,,
10,26C405-1Z,SAN6,DH4302-GREY,,"Cake Mould
Unit:PCS",5,24,120,8.3,996,53,29,32,0.05,7,0.25,35,6900202507410,,浦江仓,,,
11,26C405-1Z,,SE-030,,"4.25"" Cake bowl
24pcs/displ",5,72,360,2,720,48,36,36,0.06,18.8,0.31,94,6665202118058,,浦江仓,,,
12,26C405-1Z,,CPK-020,,"3.5""bowl 24pcs/displ
ay box",5,96,480,1.5,720,41,32,47,0.06,17,0.31,85,6665202102613,,浦江仓,,,
13,26C405-1Z,,XF01-01,,"Tea Pot 1pcs/color
box",20,24,480,9.5,4560,41.5,40,27.5,0.05,9.5,0.91,190,6912024146029,,浦江仓,,,
14,26C405-1Z,,SD-054,,"3 pcs canister set
color box",5,8,40,28,1120,46,31.2,36.5,0.05,11,0.26,55,6912024153102,,浦江仓,,,
15,26C405-1Z,,T01-07,,"450ml Mug 12pcs/egg
packing;uni",10,48,480,4.5,2160,41.3,28,44.3,0.05,20.1,0.51,201,6665202059979,,浦江仓,,,
16,26C405-1Z,,1966-08,,"1000ml Glass bottle
12pcs/displ",5,24,120,4.6,552,56.5,38.5,35,0.08,14,0.38,70,6919660251087,,东阳仓,,,
17,26C405-1Z,,1966-03,,"1000ml Glass bottle
12pcs/displ",5,24,120,4.6,552,58.8,39.5,35,0.08,15,0.41,75,6919660251032,,东阳仓,,,
18,26C405-1Z,,BW023-1,,"10.5""Squar e plate
6pcs/inner",1,24,24,7.2,172.8,44,29.5,30,0.04,24,0.04,24,6665202063617,,浦江仓,,,
19,26C405-1Z,,SB1995-36,,"34*23.5*2c m
1184g",10,18,180,8.5,1530,37,28,26,0.03,20.5,0.27,205,6667202118984,,浦江仓,,,
20,26C405-1Z,,IB-05B,,"Ironing board
1100*340*8",10,6,60,83,4980,126,34,35,0.15,23,1.50,230,6665202109407,,东阳仓,,,
21,26C405-1Z,,IB-02,,"Ironing board
1100*300*8",10,6,60,77,4620,126,40,31,0.16,23,1.56,230,6920240404021,,东阳仓,,,
22,26C405-1Z,,CPK-051,,"3-Tier cake tray
4pcs/color",10,2,20,100,2000,59,28,26,0.04,10,0.43,100,6665202102033,,浦江仓,,,
23,26C405-1Z,,BW20-121/6C,,"90ml cup&saucer
6 cup &6",5,12,60,25,1500,50,38,24,0.05,17.2,0.23,86,6665202112162,,浦江仓,,,
24,26C405-1Z,,CPK-054,,"480ml Mug 18pcs/Displ
ay",8,36,288,3.9,1123.2,44,31,39,0.05,15,0.43,120,6665202102064,,浦江仓,,,
25,26C405-1Z,,MUG 2012#-1,,"400ml Mug egg
packing;uni",10,48,480,3.8,1824,39.8,28,44.7,0.05,15.2,0.50,152,6665202089051,,浦江仓,,,
26,26C405-1Z,,MUG 2012#-2,,"350ml Mug egg
packing;uni",10,48,480,3.8,1824,41,27.5,41.5,0.05,15.74,0.47,157.4,6665202089075,,浦江仓,,,
27,26C405-1Z,,SS48-04,,"garlic press 15cm
304# s.s.",5,12,60,44.5,2670,51,41,38.5,0.08,31,0.40,155,6912024133470,,浦江仓,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
28,26C405-1Z,,SS48-03,,"garlic press 12.7cm
304# s.s.",3,18,54,37.5,2025,43,43,52.5,0.10,34,0.29,102,6912024133463,,浦江仓,,,
29,26C405-1Z,,SS48-02,,"garlic press 10cm
304# s.s.",2,24,48,29.5,1416,59.5,43,35.5,0.09,33.25,0.18,66.5,6912024133456,,浦江仓,,,
30,26C405-1Z,SAN37,DH4344,,"Kitchen Tool Set
7pcs",5,12,60,45.2,2712,63,47.5,43,0.13,15.5,0.64,77.5,6900202508332,,浦江仓,,,
31,26C405-1Z,,LQP75,,"7.5""dessert plate
6pcs/inner",20,48,960,2.5,2400,42,21,22.5,0.02,12.6,0.40,252,6920240409163,,东阳仓,,,
32,26C405-1Z,,LQP105,,"10.5""large dinner
plate",50,36,1800,4.8,8640,37.5,29,29.5,0.03,17.64,1.60,882,6920240409149,,东阳仓,,,
33,26C405-1Z,,LPKW70,,"7""bowl 6pcs/inner
box,",20,36,720,3.5,2520,51.5,38,21.5,0.04,14.2,0.84,284,6920240409125,,东阳仓,,,
34,26C405-1Z,,LWENP105,,"10.5""dinner plate
6pcs/inner",26,36,936,3.6,3369.6,35.5,28.5,28.5,0.03,17,0.75,442,6912024133357,,浦江仓,,,
35,26C405-1Z,,LWENP105,,"10.5""dinner plate
6pcs/inner",24,36,864,3.6,3110.4,35.5,28.5,28.5,0.03,17,0.69,408,6912024133357,,东阳仓,,,
36,26C405-1Z,,LSQP100,,"10""dinner plate
pcs/inner",50,36,1800,3.5,6300,51,27.6,27.8,0.04,19.2,1.96,960,6912024151757,,浦江仓,,,
37,26C405-1Z,,OUSTW60,,"6""bowl 6pcs/inner
box,",20,72,1440,3.2,4608,48.8,44,33,0.07,29.5,1.42,590,6912024133234,,东阳仓,,,
38,26C405-1Z,,ZKW80,,"8""Serving Bowl
6pcs/inner",6,24,144,5,720,52,44,23,0.05,13,0.32,78,6941602680501,,浦江仓,,,
39,26C405-1Z,,LMLW90,,"9""Serving Bowl
3pcs/inner",10,12,120,4.8,576,50.5,29.3,26.1,0.04,9,0.39,90,6912024153577,,浦江仓,,,
40,26C405-1Z,,LBKP105,,"10.5Dinner Plate
6pcs/inner",50,36,1800,5.2,9360,37.5,28,29.5,0.03,16.18,1.55,809,6188866879634,,浦江仓,,,
41,26C405-1Z,,LBKP120,,"12""Serving Plate
6pcs/inner",10,24,240,6.3,1512,33,27,33,0.03,15.9,0.29,159,6188866879641,,浦江仓,,,
42,26C405-1Z,,ZHG3T-A,,"3pcs Casserole
Set",10,4,40,47,1880,47,38.5,29.4,0.05,16.22,0.53,162.2,6900210529121,,浦江仓,,,
43,26C405-1Z,,BLXP105,,"10.5""Dinner Plate
6pcs/inner",10,36,360,4.9,1764,34.5,28.5,29,0.03,18.1,0.29,181,6948551720203,,浦江仓,,,
44,26C405-1Z,,SD-080,,"4 pcs glass snack set
color box",5,8,40,32,1280,54.5,31,42,0.07,13.6,0.35,68,6912024153362,,东阳仓,,,
45,26C405-1Z,,1966-114,,"1400ml Glass
storage jar",15,24,360,10.2,3672,43,32,47,0.06,11.3,0.97,169.5,6912024149952,,东阳仓,,,
46,26C405-1Z,,1966-113,,"1000ml Glass
storage jar",10,36,360,9.2,3312,62.5,36,32,0.07,13.5,0.72,135,6912024149945,,东阳仓,,,
47,26C405-1Z,,1966-112,,"700ml Glass
storage jar",5,48,240,8.9,2136,43,43,39.5,0.07,14,0.37,70,6912024149938,,浦江仓,,,
48,26C405-1Z,,SD-042,,"3.1L Drinks
Dispense
8set/color",5,2,10,68,680,39.3,37.3,44,0.06,13.5,0.32,67.5,6912024152983,,东阳仓,,,
49,26C405-1Z,,BW008-3,,"8""dessert plate
6pcs/inner",10,48,480,4.2,2016,45.5,33,23.7,0.04,22,0.36,220,6665202015494,,浦江仓,,,
50,26C405-1Z,,BW008-1,,"10""dinner plate
6pcs/inner",16,24,384,7.2,2764.8,36,29,30,0.03,19,0.50,304,6665202015470,,浦江仓,,,
51,26C405-1Z,,2501-148,,"Vacuum Cup 500ml
Black",1,25,25,29.9,747.5,48,48,18.5,0.04,10.5,0.04,10.5,6667202134427,,浦江仓,,,
52,26C405-1Z,,T01-42,,"400ml Mug 12pcs/egg
packing;uni",10,48,480,4.3,2064,41.1,27.5,47,0.05,17.6,0.53,176,6665202060326,,浦江仓,,,
53,26C405-1Z,,DH3661-BLACK,,"Knife Set 3pcs
6set/inner",3,48,144,16,2304,46,36,27,0.04,16,0.13,48,6900202305429,24-48,浦江仓,,,
54,26C405-1Z,,DH3773-GREY,,"Knife Set 3PCS
12set/inner",5,48,240,10.8,2592,43,37.5,35.5,0.06,13,0.29,65,6900202507724,,浦江仓,,,
55,26C405-1Z,,DH3644-BLACK,,"Chef knife 8""
12pcs/inner",3,72,216,6.7,1447.2,40,30,36,0.04,11.7,0.13,35.1,6900202305252,,浦江仓,,,
56,26C405-1Z,,DH3645-BLACK,,"Carving knife 8""
12pcs/inner",3,72,216,6.2,1339.2,40,30,37,0.04,10.4,0.13,31.2,6900202305269,,浦江仓,,,
57,26C405-1Z,,CPK-017,,"1.2Lceramic casserole
1set/color",10,16,160,16.5,2640,40,38.5,44.5,0.07,18,0.69,180,6665202101944,,浦江仓,,,
58,26C405-1Z,,CPK-053,,"350ml Mug 18pcs/Displ
ay",20,36,720,4,2880,37,29,46,0.05,12,0.99,240,6665202102057,,浦江仓,,,
59,26C405-1Z,,1966-24,,"500ml Glass bottle
12pcs/displ",5,24,120,3.9,468,48.5,32,28,0.04,9,0.22,45,6919660251247,,东阳仓,,,
1,26C405-01,,BW20-11/1C,,"550ml tea pot
1pcs/color",5,36,180,11,1980,51.5,47.5,40.8,0.10,19,0.50,95,6665202051942,,3仓,,,
2,26C405-01,,BW20-58,,"370ml mug
12pcs/inner",50,48,2400,3.8,9120,49.5,32,46,0.07,20.3,3.64,1015,6665202056541,,3仓,,,
3,26C405-01,,DB71-05,,"86ml Cake bowl 5pcs
set",5,36,180,5.5,990,52,42,28.5,0.06,19,0.31,95,6665202067998,,3仓,,,
4,26C405-01,,BWT30-18,,"6Pcs Set Soup Pot
2.5L+1.5L+",50,6,300,38,11400,39.5,24.5,49,0.05,24,2.37,1200,6665202119956,,3仓,,,
5,26C405-01,,NB008-12,,"10""dinner plate
6pcs/inner",9,18,162,13.5,2187,37.7,28.5,29,0.03,15,0.28,135,6665202049239,,3仓,,,
6,26C405-01,,NB005-12,,"10""dinner plate
6pcs/inner",10,18,180,13.5,2430,38,28.5,29.5,0.03,15,0.32,150,6665202049024,,3仓,,,
7,26C405-01,,BW20-109/6C,,"250ml cup&saucer
6pcs/inner",10,8,80,33,2640,57,30,29,0.05,20.384,0.50,203.84,6665202101616,,3仓,,,
8,26C405-01,,BW20-123,,"300ml mug 12pcs/displ
ay box,",20,48,960,3.8,3648,47.5,28,41,0.05,18.56,1.09,371.2,6665202112186,,3仓,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9,26C405-01,,BW20-120,,"350ml mug 12pcs/inner
box,",10,48,480,3.8,1824,47,28,45,0.06,17.6,0.59,176,6665202112155,,3仓,,,
1,26C405-02,,BW20-07/6C,,"260ml cup&saucer
6 cup &6",10,8,80,33,2640,61,33,30,0.06,18.9,0.60,189,6665202051904,,3仓,,,
2,26C405-02,SAN43,BW20-73,,"14.5
Dessert set
2.8""dish*3p",5,18,90,15.5,1395,54,38.5,42,0.09,21.8,0.44,109,6665202056695,,3仓,,,
3,26C405-02,,BW007-6,,"13""rectang ular plate
3pcs/inner",20,18,360,11,3960,44,37.5,25,0.04,23,0.83,460,6665202043046,,3仓,,,
93,C25-6083,,DZ125-1,,"Dinner Knife 6pcs 25set/inner
box",2,100,200,10.9,2180,49,27.5,22,0.03,33.8,0.06,67.6,6667202133697,,刀叉勺,,,
94,C25-6083,,DZ125-3,,"Dinner Fork 6pcs 25set/inner
box",2,100,200,7.6,1520,49,27.5,22,0.03,25,0.06,50,6667202133710,,刀叉勺,,,
95,C25-6083,,DZ125-2,,"Dinner Spoon 6pcs 25set/inner
box",2,100,200,7.6,1520,49,27.5,22,0.03,30,0.06,60,6667202133703,,刀叉勺,,,
96,C25-6083,,DZ125-4,,"Dessert Spoon 6pcs 25set/inner
box",2,150,300,6.3,1890,42,22,30,0.03,24,0.06,48,6667202133727,,刀叉勺,,,
TOTAL:,,,,,,1237,,30733,,282553.7,,,,,,68.06,19212.49,,,,,,
,,,,,,CTN,,T.QTY,,AMOUNT,,,,,,CBM,KGS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
